Time (ns) ,Number of positrons
160763,562801
160912,525934
161061,486991
161211,447478
161360,411341
161509,375851
161658,346444
161807,321356
161957,304980
162106,295318
162255,294778
162404,301393
162553,315926
162703,336668
162852,363898
163001,395774
163150,430908
163299,466431
163449,500082
163598,536323
163747,565660
163896,590316
164045,610452
164195,621348
164344,624184
164493,622268
164642,610332
164791,589956
164941,563536
165090,536274
165239,501304
165388,462462
165537,427156
165687,390012
165836,357496
165985,329086
166134,305033
166283,287792
166433,276927
166582,275014
166731,279488
166880,291980
167029,309961
167179,333794
167328,362776
167477,394216
167626,428602
167775,460710
167925,491835
168074,521586
168223,545462
168372,563849
168521,575557
168671,583052
168820,581070
168969,572866
169118,557526
169267,534142
169417,507970
169566,477135
169715,444245
169864,409187
170013,375371
170163,343430
170312,315972
170461,291032
170610,273096
170759,260971
170909,255448
171058,258616
171207,268201
171356,282932
171505,306294
171655,331263
171804,361049
171953,392335
172102,424659
172251,454762
172401,482678
172550,506718
172699,524331
172848,537568
172997,543692
173147,545838
173296,537057
173445,523888
173594,504805
173743,480609
173893,451782
174042,422295
174191,390132
174340,357524
174489,326790
174639,300430
174788,277322
174937,258480
175086,245796
175235,241128
175385,241804
175534,248042
175683,262302
175832,278929
175981,301855
176131,329498
176280,358585
176429,387124
176578,414688
176727,441510
176877,466384
177026,483820
177175,499221
177324,506947
177473,509064
177623,505072
177772,494960
177921,478449
178070,456671
178219,430962
178369,402897
178518,372549
178667,342326
178816,313833
178965,285750
179115,263334
179264,245614
179413,232010
179562,225204
179711,224406
179861,230521
180010,240984
180159,256928
180308,278220
180457,302572
180607,328406
180756,355428
180905,382582
181054,407025
181203,430375
181353,450792
181502,464575
181651,472179
181800,474920
181949,472596
182099,464675
182248,448920
182397,431592
182546,409200
182695,382530
182845,355971
182994,326672
183143,299705
183292,274413
183441,251280
183591,233396
183740,220294
183889,211790
184038,209380
184187,212786
184337,222067
184486,234719
184635,254172
184784,274606
184933,299606
185083,325858
185232,349717
185381,376580
185530,397894
185679,415980
185829,431523
185978,440984
186127,446041
186276,444436
186425,436894
186575,425082
186724,408182
186873,387276
187022,362996
187171,338094
187321,313095
187470,285851
187619,261533
187768,240300
187917,221913
188067,208854
188216,199478
188365,195721
188514,198568
188663,205289
188813,217094
188962,232946
189111,252608
189260,274376
189409,297943
189559,320868
189708,344598
189857,364712
190006,385343
190155,399284
190305,410176
190454,415450
190603,414111
190752,411591
190901,400952
191051,387942
191200,367168
191349,346879
191498,323153
191647,298045
191797,273339
191946,251203
192095,229433
192244,211560
192393,197020
192543,187344
192692,182942
192841,183717
192990,188802
193139,199108
193289,213015
193438,230358
193587,252346
193736,272018
193885,295917
194035,317683
194184,338224
194333,355686
194482,370873
194631,379800
194781,387752
194930,388844
195079,384353
195228,374868
195377,363278
195527,348738
195676,328597
195825,307496
195974,285071
196123,262334
196273,239940
196422,219330
196571,201515
196720,187994
196869,177720
197019,172448
197168,170949
197317,174385
197466,183164
197615,195733
197765,209984
197914,228473
198063,248536
198212,269798
198361,290466
198511,309864
198660,328369
198809,343586
198958,354624
199107,360579
199257,361914
199406,361112
199555,354640
199704,345164
199853,329538
200003,311430
200152,292720
200301,270320
200450,249702
200599,227958
200749,209002
200898,192413
201047,178880
201196,168555
201345,160960
201495,159424
201644,161672
201793,169380
201942,178562
202091,194282
202241,209726
202390,228916
202539,246984
202688,267694
202837,286083
202987,302366
203136,317434
203285,326953
203434,334981
203583,338472
203733,338243
203882,332164
204031,323885
204180,311776
204329,296766
204479,277869
204628,259882
204777,238826
204926,219606
205075,201520
205225,183320
205374,169723
205523,159528
205672,152322
205821,148216
205971,150260
206120,155906
206269,163852
206418,176708
206567,190932
206717,209690
206866,226288
207015,244924
207164,262934
207313,279026
207463,293916
207612,304450
207761,312096
207910,316590
208059,317417
208209,312040
208358,305236
208507,294902
208656,280725
208805,263986
208955,246240
209104,227770
209253,209102
209402,191246
209551,174440
209701,161578
209850,151540
209999,144292
210148,140488
210297,140216
210447,144618
210596,151460
210745,162144
210894,175022
211043,191104
211193,207263
211342,224945
211491,240232
211640,256280
211789,270152
211939,281750
212088,290936
212237,295308
212386,297071
212535,293833
212685,287959
212834,277416
212983,265680
213132,251608
213281,235046
213431,218658
213580,199640
213729,182834
213878,167983
214027,154058
214177,143875
214326,135822
214475,131394
214624,130260
214773,133324
214923,139870
215072,148390
215221,160368
215370,174542
215519,189441
215669,206155
215818,221777
215967,237432
216116,249964
216265,261058
216415,269902
216564,275146
216713,276531
216862,275354
217011,270862
217161,261558
217310,251428
217459,238172
217608,223433
217757,207590
217907,191556
218056,175795
218205,160083
218354,146922
218503,136076
218653,128930
218802,122682
218951,121947
219100,123928
219249,128081
219399,136349
219548,147250
219697,159782
219846,173763
219995,188354
220145,202534
220294,216224
220443,230624
220592,242070
220741,249658
220891,255805
221040,259000
221189,257920
221338,254240
221487,247024
221637,237299
221786,226658
221935,212092
222084,198363
222233,182258
222383,167022
222532,152965
222681,140002
222830,129540
222979,121300
223129,116214
223278,114092
223427,114881
223576,118743
223725,125754
223875,135080
224024,145872
224173,158420
224322,173278
